part_id|part_definition_id|part_product_class_id|common_part_catalog_id|preferred_supplier_id|part_family_id|stock_card_create_date|part_season
52533|8864|209|32|1|1|2016-05-02|NULL
52791|1978|251|24|1|252|2019-08-26|NULL
52938|5319|441|10|1|420|2004-12-24|NULL
53034|3659|415|6|5|231|2014-04-21|NULL
53060|7785|410|6|5|180|2014-01-24|NULL
53132|6980|459|6|5|231|2014-04-21|NULL
53223|10330|425|6|5|231|2014-04-10|NULL
53300|3182|487|7|1|2|2004-12-24|NULL
53652|3419|195|7|1|1|2018-02-19|NULL
53747|5278|487|7|1|2|2004-12-24|NULL
54084|7966|466|7|1|1|2018-07-16|NULL
54175|11625|487|7|1|1|2015-02-10|NULL
54216|4949|492|7|1|1|2015-03-26|NULL
54347|4476|487|7|1|1|2018-02-21|NULL
54517|6016|178|7|1|1|2018-04-02|Yaz Mevsimsel
54627|3620|251|7|1|1|2018-08-27|NULL
54700|3386|218|7|1|2|2010-04-19|Yaz Mevsimsel
54718|5323|441|35|1|1|2016-10-04|NULL
54719|5323|441|12|1|1|2016-10-20|NULL
54824|9821|487|7|1|1|2018-11-21|NULL
54965|8783|261|7|1|2|2010-10-26|Kış Mevsimsel
55205|11177|428|7|1|2|2012-06-01|NULL
55355|5577|487|7|1|2|2004-12-30|NULL
55647|4949|555|7|1|2|2010-07-12|NULL
55656|6374|245|7|1|2|2005-02-07|NULL
55759|11634|399|7|1|532|2004-12-24|NULL
55953|10578|624|23|1|2|2004-12-24|NULL
56072|3829|128|9|1|452|2004-12-24|NULL
56166|6916|469|3|1|2|2008-05-15|NULL
56183|4949|555|26|1|2|2008-01-02|NULL
56254|9035|256|3|1|2|2010-04-27|Kış Mevsimsel
56746|120|184|3|1|492|2004-12-24|Kış Mevsimsel
57212|1987|269|10|1|2|2014-04-21|Kış Mevsimsel
57469|1728|599|8|3|1|2018-05-14|NULL
57553|2316|426|3|1|1|2014-09-25|NULL
57581|2316|426|3|1|2|2010-04-26|NULL
57731|11547|414|3|1|2|2013-03-25|NULL
57835|6399|247|9|1|2|2010-04-26|NULL
57872|10936|663|8|3|1|2017-02-16|NULL
57963|144|618|4|1|1|2017-10-25|NULL
58080|10218|426|4|1|1|2017-02-02|NULL
58300|9677|266|4|1|1|2017-02-02|NULL
58336|7040|246|4|1|1|2017-12-04|NULL
58843|380|466|4|1|506|2004-12-24|NULL
59063|3059|110|13|1|2|2004-12-30|NULL
59323|2228|403|13|1|2|2004-12-30|NULL
59362|5393|487|13|1|2|2006-08-28|NULL
59370|5832|487|4|1|2|2004-12-24|NULL
40156|4687|470|3|1|1|2017-04-24|NULL
40233|6140|493|3|1|2|2012-05-25|NULL
40444|4186|616|6|5|231|2014-02-27|NULL
40597|6030|554|6|5|180|2015-06-29|NULL
40603|7019|487|24|1|341|2014-02-14|NULL
41417|10218|410|5|2|1|2017-01-06|NULL
41504|6194|479|5|2|1|2019-02-27|NULL
41542|7825|261|5|2|1|2013-01-15|Kış Mevsimsel
41636|4587|202|35|1|1|2016-04-20|NULL
41758|11624|407|5|2|1|2014-02-06|NULL
41769|8507|487|5|2|1|2015-08-03|NULL
41815|1939|415|5|2|1|2018-03-26|NULL
41830|747|446|5|2|1|2013-01-15|NULL
42126|2488|403|3|1|1|2016-05-13|NULL
42248|4949|487|3|1|1|2019-07-03|NULL
42305|4278|426|3|1|1|2014-05-26|NULL
42436|4949|492|24|1|1|2014-05-22|NULL
42531|6194|479|3|1|1|2017-04-26|NULL
42626|9213|261|39|1|1|2013-10-09|Kış Mevsimsel
42902|8541|204|3|1|1|2012-09-07|NULL
