part_id|part_definition_id|part_product_class_id|common_part_catalog_id|preferred_supplier_id|part_family_id|stock_card_create_date|part_season
52527|5962|261|39|1|1|2017-06-09|Kış Mevsimsel
52816|787|394|6|5|252|2015-02-13|NULL
52844|10409|463|6|5|341|2016-01-21|NULL
52982|10025|467|6|5|231|2014-02-24|NULL
52984|10023|467|6|5|231|2014-01-24|NULL
53219|6105|255|6|5|180|2014-04-10|Kış Mevsimsel
53271|3151|335|7|1|2|2004-12-24|NULL
53506|10184|426|7|1|1|2018-11-07|NULL
53949|7242|579|7|1|1|2017-09-28|NULL
53995|215|299|7|1|1|2017-09-26|NULL
54061|3850|606|7|1|2|2012-05-08|NULL
54385|9807|446|7|1|1|2016-10-10|NULL
54430|3298|474|7|1|1|2013-12-16|NULL
54621|4249|237|7|1|1|2018-06-18|NULL
55142|2728|614|12|1|2|2008-06-11|NULL
